Cell	Celltype	Location	T	Pou3f1	Mixl1	Mesp1	Sox17	Nodal	Bmp4	Eomes	Wnt3	Wnt3a	Fgf8	Celltype_Number
cell_6305 	Epiblast	6A	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_6919 	Epiblast	6A	0	2.58	0	0	0	0	0	0	0	0	1	1
cell_6921 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7324 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7604 	Epiblast	6A	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_7618 	Epiblast	6A	0	2.58	0	0	0	0	0	0	0	0	1.58	1
cell_7424 	Epiblast	6A	0	2.32	0	0	0	0	0	1	0	0	0	1
cell_5537 	Epiblast	6A	0	2.81	0	0	0	0	0	0	0	0	1	1
cell_5729 	Epiblast	6A	1	3	0	0	0	0	0	1	0	0	1	1
cell_5783 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5864 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	0	1
cell_6385 	Epiblast	6A	0	1	0	0	0	0	0	0	0	0	1	1
cell_6510 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	2.32	1
cell_6516 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	0	1
cell_6760 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	1.58	1
cell_6843 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6912 	Epiblast	6A	0	2.32	0	0	0	0	0	1	0	0	1.58	1
cell_7059 	Epiblast	6A	0	0	0	0	0	0	0	0	0	0	0	1
cell_7359 	Epiblast	6A	0	2	0	0	0	0	1	0	0	0	0	1
cell_7561 	Epiblast	6A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7588 	Epiblast	6A	1	1.58	0	0	0	1	0	1.58	0	0	0	1
cell_6754 	Epiblast	6A	0	0	0	0	0	0	0	0	0	0	1	1
cell_7019 	Epiblast	6A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_7209 	Epiblast	6A	0	1.58	0	0	0	0	1	0	0	0	1	1
cell_6407 	Epiblast	6A	0	1	1	0	0	0	0	2.32	0	0	2.58	1
cell_7547 	Epiblast	6A	0	1	0	0	0	0	0	0	0	0	0	1
cell_5609 	Epiblast	6A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_5909 	Epiblast	6A	0	3.32	0	0	0	0	0	0	0	0	0	1
cell_6683 	Epiblast	6A	0	2.32	0	0	0	1	0	2	0	0	2.32	1
cell_6889 	Epiblast	6A	0	2.32	0	0	1	0	0	0	0	0	1.58	1
cell_7114 	Epiblast	6A	0	2.32	0	0	0	0	0	2.58	1	0	0	1
cell_5865 	Epiblast	6A	0	3.17	0	0	0	0	0	0	0	0	1	1
cell_5889 	Epiblast	6A	0	1	1	0	0	0	0	1	0	0	2.32	1
cell_6982 	Epiblast	6A	0	0	0	0	0	0	0	0	0	0	0	1
cell_6924 	Epiblast	6A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7164 	Epiblast	6A	0	2.32	0	0	0	0	0	2	0	0	1	1
cell_5583 	Epiblast	6A	0	2.32	0	0	0	0	0	0	0	0	2	1
cell_6338 	Epiblast	6A	0	3.46	0	0	0	0	0	0	0	0	1	1
cell_6796 	Epiblast	6A	0	1.58	0	0	0	1	0	1	0	0	1	1
cell_7480 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	0	1
cell_5721 	Epiblast	6A	0	2.58	0	0	0	0	0	0	0	0	0	1
cell_6063 	Epiblast	6A	0	2.81	0	0	0	0	1	0	0	0	0	1
cell_7148 	Epiblast	6A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7518 	Epiblast	6A	0	1	0	0	0	0	0	1.58	0	0	3	1
cell_6659 	Epiblast	6A	0	2	0	0	0	0	0	1	0	0	0	1
cell_6171 	Epiblast	6A	0	0	0	0	0	0	0	0	1	0	3	1
cell_6854 	Epiblast	6A	0	2	1	0	0	0	0	1.58	0	0	2	1
cell_5479 	Epiblast	6A	0	2.32	0	0	0	0	0	2.58	1	0	1.58	1
cell_7331 	Epiblast	6A	0	0	1	0	0	0	0	1	1	0	2.58	1
cell_6492 	Epiblast	6A	0	1	0	0	0	0	0	0	0	0	1	1
cell_5819 	Epiblast	6A	0	0	0	0	0	0	0	0	0	0	3	1
cell_7417 	Epiblast	6A	2	2.81	0	2.81	0	0	0	0	0	0	2	1
cell_5740 	Epiblast	6A	0	1	0	0	0	0	0	1.58	0	0	2.32	1
cell_5836 	Epiblast	6A	0	1	0	0	0	0	0	1.58	0	0	2.81	1
cell_5978 	Epiblast	6A	0	0	0	0	0	1	0	0	0	0	2.81	1
cell_5637 	Epiblast	6A	0	1	0	0	0	0	0	1	1	0	1.58	1
cell_6390 	Epiblast	6A	0	0	2	0	0	0	0	2.32	0	0	3.17	1
cell_7198 	Epiblast	6A	1	0	1	0	0	0	0	2.32	0	0	2.32	1
cell_6000 	Epiblast	6A	0	0	1	0	0	0	0	2.81	0	0	3.7	1
cell_5502 	Epi-Ect	6P	0	0	2.32	0	4.58	0	0	1	0	0	2.81	4
cell_5677 	Epi-Ect	6P	0	0	0	0	1.58	1	0	2.58	0	0	3.32	4
cell_5852 	Epi-Ect	6P	0	0	0	0	2.58	0	0	1	0	0	3.17	4
cell_7623 	Epi-Ect	6P	0	0	2.32	0	0	0	0	2	0	0	3	4
cell_7124 	Epi-Ect	6P	0	0	0	0	3.32	0	0	1.58	0	0	2.58	4
cell_7145 	Epi-Ect	6P	1.58	0	3.17	2.32	0	0	0	2.58	1.58	0	3.32	4
cell_6071 	Epi-Ect	6P	1	0	1	0	3	0	0	1	0	0	1.58	4
cell_6849 	Epi-Ect	6P	0	0	1	0	2.32	0	0	1	0	0	1.58	4
cell_6853 	Epi-Ect	6P	0	0	1	0	3	0	0	1.58	0	0	2.32	4
cell_6989 	Epi-Ect	6P	0	0	0	0	0	0	0	0	0	0	1.58	4
cell_5964 	Epi-Ect	6P	0	2.32	0	0	0	0	0	0	0	0	0	4
cell_7221 	Epi-Ect	6P	0	0	0	0	0	0	0	0	0	0	0	4
cell_7400 	Epi-Ect	6P	0	0	0	0	0	0	0	1	0	0	0	4
cell_7585 	Epi-Ect	6P	0	0	0	0	0	0	0	2	0	0	3.32	4
cell_6656 	Epi-Ect	6P	0	2.81	0	1.58	0	0	0	2.32	0	0	2.81	4
cell_7233 	Epi-Ect	6P	0	0	0	0	0	0	0	0	0	0	1.58	4
cell_5574 	Epi-Ect	6P	0	1.58	0	0	0	0	0	2.58	0	0	2.58	4
cell_5789 	Epi-Ect	6P	0	2	0	0	0	0	1	0	0	0	0	4
cell_5798 	Epi-Ect	6P	0	0	0	0	0	0	0	1.58	0	0	0	4
cell_6235 	Epi-Ect	6P	1	1.58	0	0	0	0	0	0	0	0	3.32	4
cell_6947 	Epi-Ect	6P	0	0	0	0	0	0	0	0	0	0	0	4
cell_7346 	Epi-Ect	6P	0	0	0	0	0	0	0	0	0	0	0	4
cell_7379 	Epi-Ect	6P	0	0	0	0	0	1	0	1	0	0	2.32	4
cell_7222 	Epi-Ect	6P	0	1	0	0	0	0	0	0	0	0	1	4
cell_5734 	Epi-Ect	6P	0	0	0	0	0	0	0	0	0	0	0	4
cell_7423 	Epi-Ect	6P	0	2.81	0	0	0	0	1	0	0	0	1.58	4
cell_7432 	Epi-Ect	6P	0	1	0	0	0	0	0	0	0	0	0	4
cell_5939 	Epi-Ect	6P	0	1	0	0	0	0	0	0	0	0	0	4
cell_6574 	Epi-Ect	6P	0	1	0	0	0	0	0	1.58	0	0	3.91	4
cell_6650 	Epi-Ect	6P	0	1	0	0	0	0	0	0	0	0	0	4
cell_6992 	Epi-Ect	6P	0	2.58	1	0	0	1	0	2.81	0	0	1.58	4
cell_7466 	Epi-Ect	6P	0	0	0	0	0	0	1	0	0	0	1	4
cell_6133 	Epi-Ect	6P	0	0	0	0	0	0	0	0	0	0	0	4
cell_6134 	Epi-Ect	6P	0	0	0	0	0	0	0	1	0	0	1	4
cell_6199 	Epi-Ect	6P	0	0	0	0	0	0	0	0	0	0	0	4
cell_6690 	Epi-Ect	6P	0	1	0	0	0	0	0	1	0	0	0	4
cell_6699 	Epi-Ect	6P	0	1.58	0	0	0	0	0	2	0	0	2.32	4
cell_6744 	Epi-Ect	6P	0	1	0	0	0	0	0	0	0	0	0	4
cell_6763 	Epi-Ect	6P	0	0	0	0	0	0	0	0	0	0	0	4
cell_6954 	Epi-Ect	6P	0	0	0	0	0	0	0	0	0	0	0	4
cell_7115 	Epi-Ect	6P	1	0	0	0	0	0	0	1.58	0	0	1	4
cell_6176 	Epi-Ect	6P	0	0	1	0	0	0	0	1.58	0	0	2.58	4
cell_6583 	Epi-Ect	6P	0	2.58	0	0	0	0	0	0	0	0	1	4
cell_7026 	PS-Mes	6P	1	0	0	0	1.58	0	0	0	0	0	0	3
cell_7475 	PS-Mes	6P	0	0	0	0	0	0	0	0	0	0	0	3
cell_6519 	PS-Mes	6P	0	0	2.32	4.32	0	0	1.58	0	0	0	2	3
cell_6605 	PS-Mes	6P	0	0	0	2.58	0	0	0	1.58	1.58	0	2	3
cell_6581 	PS-Mes	6P	0	0	1	2.58	0	0	1	1.58	0	0	1	3
cell_7474 	PS-Mes	6P	1.58	0	2.81	4	0	0	0	1	1.58	0	2.32	3
cell_6409 	PS-Mes	6P	0	0	2.32	3.17	0	0	0	0	0	0	1	3
cell_5738 	PS-Mes	6P	1	0	2	3.58	0	0	0	2	0	0	1	3
cell_6389 	PS-Mes	6P	0	0	0	2.58	0	0	0	1	0	0	0	3
cell_6631 	PS-Mes	6P	1.58	0	1.58	2	0	0	0	1	1	0	1	3
cell_6981 	PS-Mes	6P	0	0	1	4.09	0	0	0	2	0	0	1	3
cell_7295 	PS-Mes	6P	0	0	2	1	0	0	0	1	0	0	1	3
cell_5997 	PS-Mes	6P	0	0	1.58	2.58	0	0	0	2.32	0	0	0	3
cell_5752 	PS-Mes	6P	2.32	0	1.58	3.17	0	0	0	2	1	0	1.58	3
cell_5809 	PS-Mes	6P	0	0	2.81	2.32	0	0	0	1.58	0	0	3.17	3
cell_7602 	PS-Mes	6P	0	0	2.81	4.17	0	0	0	0	0	0	1	3
cell_6360 	PS-Mes	6P	1.58	0	1.58	3	0	0	0	2	1.58	0	2.81	3
cell_5706 	PS-Mes	6P	0	0	0	3.81	0	0	0	1.58	0	0	1.58	3
cell_6667 	PS-Mes	6P	2.32	1	2.32	3.17	0	0	0	1	0	0	3.7	3
cell_6644 	PS-Mes	6P	1	0	1.58	2.81	0	0	0	1	1	0	2.81	3
cell_7543 	PS-Mes	6P	1	0	2	4	0	0	0	2.58	0	0	1.58	3
cell_7107 	PS-Mes	6P	0	1	0	1	0	0	0	2	0	0	2	3
cell_7316 	PS-Mes	6P	0	0	0	0	0	0	0	0	0	0	1	3
cell_7193 	PS-Mes	6P	0	0	0	0	0	0	0	3	1	0	3	3
cell_5778 	PS-Mes	6P	0	0	1	0	0	0	0	1	0	0	3.58	3
cell_6815 	PS-Mes	6P	0	0	1.58	0	0	0	0	0	0	0	1	3
cell_6147 	PS-Mes	6P	1	0	1.58	0	0	0	0	2	0	0	2.58	3
cell_6662 	PS-Mes	6P	1	0	0	0	0	0	0	0	0	0	1	3
cell_6724 	PS-Mes	6P	1	0	1.58	0	0	0	0	2	1	0	2	3
cell_6215 	PS-Mes	6P	0	0	0	0	0	0	0	1.58	0	0	2.32	3
cell_6740 	PS-Mes	6P	0	0	0	0	0	1	0	2	1	0	1	3
cell_5584 	PS-Mes	6P	1	0	3.7	2.32	0	0	0	1	0	0	2.32	3
cell_6090 	PS-Mes	6P	1.58	0	2.32	3.17	0	0	0	2.81	0	0	3	3
cell_6875 	PS-Mes	6P	0	0	2	0	0	0	0	2	0	0	2.58	3
cell_6878 	PS-Mes	6P	0	0	1	0	0	0	0	1	0	0	0	3
cell_7093 	PS-Mes	6P	2	0	1	0	0	0	0	3	0	0	2.81	3
cell_7348 	PS-Mes	6P	1.58	1	0	2	0	0	0	1.58	0	0	0	3
cell_7469 	PS-Mes	6P	1.58	0	0	0	0	0	0	2.58	0	0	2	3
cell_5580 	PS-Mes	6P	1	0	2	1.58	0	0	0	0	0	0	1.58	3
cell_5591 	PS-Mes	6P	2.58	0	4	0	0	0	0	3.32	0	0	2.32	3
cell_6641 	PS-Mes	6P	0	0	2.32	0	0	0	0	2.58	1.58	0	2	3
cell_6746 	PS-Mes	6P	0	0	2	0	0	0	0	1.58	0	0	2	3
cell_6738 	PS-Mes	6P	2.32	0	1	1.58	0	0	0	1.58	0	0	2.81	3
cell_7006 	PS-Mes	6P	1	0	1	0	0	0	1	1	0	0	3.17	3
cell_6698 	PS-Mes	6P	1	1	0	0	0	0	0	2.58	0	0	3.17	3
cell_7051 	PS-Mes	6P	0	0	1	0	0	0	0	1	1	0	2	3
cell_5991 	PS-Mes	6P	0	0	0	0	1	1	0	1	1	0	2	3
cell_7416 	PS-Mes	6P	2.32	0	3.7	4.52	0	0	0	2.81	1	0	2.58	3
cell_6204 	PS-Mes	6P	1	0	1	0	0	0	0	3.17	0	0	3	3
cell_6401 	PS-Mes	6P	1.58	0	1	1	0	0	0	0	1	0	3.46	3
cell_7421 	PS-Mes	6P	0	0	0	0	0	0	0	1	1	0	1.58	3
cell_7499 	PS-Mes	6P	0	0	2.81	1.58	0	0	0	2.58	0	1	2	3
cell_5505 	PS-Mes	6P	1	1	2	0	0	1	0	2.32	1	0	2.32	3
cell_5768 	PS-Mes	6P	1.58	0	1	0	0	0	0	2.32	1	0	3.58	3
cell_6190 	PS-Mes	6P	0	0	0	0	0	0	0	0	0	0	3.32	3
cell_6467 	PS-Mes	6P	1	0	1	0	0	0	0	2.58	0	0	2	3
cell_6812 	PS-Mes	6P	0	0	1	0	0	0	0	1.58	1	0	2	3
cell_7072 	PS-Mes	6P	2	0	3.32	2.58	0	0	0	2.81	0	0	3.17	3
cell_7077 	PS-Mes	6P	0	0	1	0	0	0	0	2.58	1	0	3	3
cell_7212 	PS-Mes	6P	0	0	0	0	0	0	0	1.58	1	0	3.32	3
cell_7418 	PS-Mes	6P	1	1	1	0	0	0	0	1.58	1	0	2.32	3
cell_7328 	PS-Mes	6P	0	0	2	0	0	0	0	1	0	0	2.58	3
cell_6769 	PS-Mes	6P	0	1	0	0	0	0	0	1.58	1	0	2.58	3
cell_6484 	PS-Mes	6P	0	1	2.58	0	0	0	0	1	0	0	2	3
cell_6549 	PS-Mes	6P	2	0	2.32	0	0	0	0	1.58	0	0	2.81	3
cell_6218 	PS-Mes	6P	2.32	0	0	1	0	0	1	0	0	0	3	3
cell_5559 	PS-Mes	6P	0	0	0	0	2.32	0	0	1.58	0	0	2.58	3
cell_6562 	Epiblast	7A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_5703 	Epiblast	7A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7014 	Epiblast	7A	0	2	0	0	0	0	0	0	0	0	0	1
cell_7039 	Epiblast	7A	0	3.17	0	0	0	0	0	0	0	0	0	1
cell_6440 	Epiblast	7A	0	3.46	0	0	0	0	0	0	0	0	0	1
cell_7459 	Epiblast	7A	0	0	0	0	0	0	0	0	0	0	2.58	1
cell_5533 	Epiblast	7A	0	0	0	0	0	0	0	0	0	0	0	1
cell_5739 	Epiblast	7A	0	1.58	0	0	0	0	0	2	0	0	1.58	1
cell_5976 	Epiblast	7A	0	2	0	0	0	0	0	0	0	0	0	1
cell_6078 	Epiblast	7A	0	2.81	0	0	0	0	0	1	0	0	0	1
cell_6161 	Epiblast	7A	0	1.58	0	0	0	0	0	0	0	0	1	1
cell_6508 	Epiblast	7A	0	2.81	0	0	0	0	0	0	0	0	0	1
cell_6728 	Epiblast	7A	0	1.58	0	0	0	0	0	0	0	0	1.58	1
cell_7118 	Epiblast	7A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7590 	Epiblast	7A	0	1	0	0	0	0	1	0	0	0	1	1
cell_6666 	Epiblast	7A	0	0	0	0	0	0	0	1	0	0	2.32	1
cell_7495 	Epiblast	7A	0	2.32	0	0	0	0	0	0	0	0	0	1
cell_7615 	Epiblast	7A	0	1	0	0	0	0	0	0	0	0	1	1
cell_6820 	Epiblast	7A	0	2.32	0	0	1	0	0	0	0	0	2.58	1
cell_5833 	Epiblast	7A	0	1	0	0	0	1.58	0	0	0	0	1	1
cell_6459 	Epiblast	7A	0	1.58	0	0	0	0	0	0	0	0	1.58	1
cell_6515 	Epiblast	7A	0	1	0	0	0	0	0	0	0	0	0	1
cell_6610 	Epiblast	7A	0	2.58	0	0	0	0	0	1	0	0	0	1
cell_7317 	Epiblast	7A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7257 	Epiblast	7A	0	1	0	0	0	0	0	0	0	0	0	1
cell_5766 	Epiblast	7A	0	0	0	0	0	0	0	1	0	0	2.32	1
cell_6645 	Epiblast	7A	0	1	0	0	0	0	0	0	0	0	0	1
cell_7237 	Epiblast	7A	0	0	0	0	0	0	0	1	0	0	1	1
cell_7454 	Epiblast	7A	0	3.58	0	0	0	0	0	0	0	0	0	1
cell_7165 	Epiblast	7A	0	3.58	0	0	0	0	0	0	0	0	0	1
cell_5844 	Epiblast	7A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_6193 	Epiblast	7A	0	2	0	0	0	0	0	1	0	0	0	1
cell_7539 	Epiblast	7A	0	1.58	0	0	0	0	0	0	0	0	0	1
cell_7343 	Epiblast	7A	0	1.58	0	0	0	0	0	0	1	0	1	1
cell_5651 	Epiblast	7A	1	1.58	1.58	2.58	0	0	2.32	0	0	0	1.58	1
cell_7401 	Epiblast	7A	0	1.58	0	0	0	0	0	2.58	0	0	2.58	1
cell_6249 	Epiblast	7A	1.58	1	2	0	0	1	0	2	0	0	3.91	1
cell_6103 	Epiblast	7A	0	0	2.58	0	0	1	0	1.58	0	0	2.32	1
cell_6553 	Epiblast	7A	1	0	3.17	3	0	0	0	2.32	0	0	3	1
cell_6589 	Epiblast	7A	0	1.58	0	0	0	0	0	3	0	0	2.58	1
cell_7192 	Epi-Ect	7P	1	0	1	1	0	0	0	2	1	0	2.81	4
cell_5652 	Epi-Ect	7P	1	0	2	0	0	0	0	2.32	0	0	2.58	4
cell_7537 	Epi-Ect	7P	0	1	0	0	0	0	0	0	0	0	3.46	4
cell_5512 	Epi-Ect	7P	0	1.58	0	0	0	0	0	1	0	0	2	4
cell_7021 	Epi-Ect	7P	0	2	0	0	0	0	0	0	0	0	0	4
cell_5855 	Epi-Ect	7P	0	0	0	0	0	0	0	0	0	0	1	4
cell_6306 	Epi-Ect	7P	0	2	0	0	0	0	0	1	0	0	1	4
cell_6166 	Epi-Ect	7P	0	1	0	0	0	0	0	0	0	0	1	4
cell_6532 	Epi-Ect	7P	0	0	0	0	0	0	0	1	0	0	2.32	4
cell_6894 	Epi-Ect	7P	0	0	0	0	0	0	0	1	0	0	3.17	4
cell_7025 	Epi-Ect	7P	0	0	0	0	0	0	0	0	0	0	1	4
cell_7062 	Epi-Ect	7P	0	0	0	0	0	0	0	0	0	0	0	4
cell_5682 	Epi-Ect	7P	0	1	0	0	0	0	0	0	0	0	2.32	4
cell_6024 	Epi-Ect	7P	0	0	0	0	0	0	0	1	0	0	1.58	4
cell_6517 	Epi-Ect	7P	0	0	0	0	0	1.58	0	1	0	0	0	4
cell_5672 	Epi-Ect	7P	0	0	0	0	0	0	0	1	1	0	2.32	4
cell_5790 	Epi-Ect	7P	0	0	0	0	0	0	0	0	0	0	1	4
cell_5921 	Epi-Ect	7P	0	0	0	0	0	0	0	0	0	0	1.58	4
cell_5981 	Epi-Ect	7P	0	0	0	0	0	0	0	0	0	0	2.58	4
cell_6828 	Epi-Ect	7P	0	1	0	0	0	0	0	0	1	0	3	4
cell_6965 	Epi-Ect	7P	0	0	0	0	0	0	0	0	0	0	0	4
cell_6999 	Epi-Ect	7P	0	0	0	0	0	0	0	0	0	0	2	4
cell_6446 	Epi-Ect	7P	0	2.32	0	0	0	0	0	0	0	0	0	4
cell_6956 	Epi-Ect	7P	0	2	0	0	0	0	0	0	0	0	1.58	4
cell_6990 	Epi-Ect	7P	0	2.81	0	0	0	0	0	0	0	0	0	4
cell_7132 	Epi-Ect	7P	0	1.58	0	0	0	0	0	0	0	0	0	4
cell_7515 	Epi-Ect	7P	0	1	0	0	0	0	0	0	0	0	0	4
cell_7376 	Epi-Ect	7P	0	1	0	0	0	0	0	0	1	0	1	4
cell_6294 	Epi-Ect	7P	0	1.58	0	0	0	0	0	1	0	0	2	4
cell_5660 	Epi-Ect	7P	0	1.58	0	0	0	0	0	0	0	0	1	4
cell_6124 	Epi-Ect	7P	0	1	0	0	0	0	0	0	0	0	0	4
cell_7464 	Epi-Ect	7P	0	1	0	0	0	0	0	1.58	0	0	2	4
cell_6500 	Epi-Ect	7P	0	1	0	0	0	0	0	1	0	0	0	4
cell_6195 	Epi-Ect	7P	0	1	0	0	0	0	0	0	0	0	0	4
cell_6258 	Epi-Ect	7P	0	0	0	0	0	0	0	0	0	0	1	4
cell_6372 	Epi-Ect	7P	0	1.58	0	0	0	0	0	0	0	0	1	4
cell_7060 	Epi-Ect	7P	0	1	0	0	0	0	0	0	0	0	0	4
cell_7286 	Epi-Ect	7P	1	1.58	2	2.58	0	0	0	1.58	0	0	1.58	4
cell_6298 	Epi-Ect	7P	0	0	0	0	1	0	0	0	0	0	1.58	4
cell_6456 	Epi-Ect	7P	0	2	0	0	0	0	0	0	0	0	2.32	4
cell_7080 	Epi-Ect	7P	0	1.58	0	0	0	0	0	0	0	0	1	4
cell_7213 	Epi-Ect	7P	0	1	0	1	0	0	0	0	0	0	3.46	4
cell_7370 	Epi-Ect	7P	0	0	0	0	0	0	0	1	0	0	0	4
cell_7534 	Epi-Ect	7P	0	2.32	0	0	0	0	0	0	0	0	0	4
cell_5803 	Epi-Ect	7P	0	1.58	0	0	0	0	0	1.58	0	0	2.32	4
cell_6184 	Epi-Ect	7P	0	2	0	0	0	0	0	0	0	0	0	4
cell_6074 	Epi-Ect	7P	0	3	0	0	0	0	0	0	0	0	0	4
cell_6835 	Epi-Ect	7P	0	1.58	0	0	0	0	0	1	0	0	2	4
cell_6929 	Epi-Ect	7P	0	2	0	0	0	0	0	0	0	0	0	4
cell_5469 	Epi-Ect	7P	0	0	0	0	0	0	0	0	0	0	0	4
cell_5531 	Epi-Ect	7P	0	1.58	0	0	0	0	0	1	0	0	3	4
cell_5714 	Epi-Ect	7P	1	2.32	0	0	0	1	0	2.32	0	0	3	4
cell_5828 	Epi-Ect	7P	0	1.58	0	0	0	0	0	1	1	0	3	4
cell_5937 	Epi-Ect	7P	0	1.58	0	0	0	0	0	0	0	0	0	4
cell_6154 	Epi-Ect	7P	0	0	0	0	0	0	0	0	0	0	0	4
cell_6427 	Epi-Ect	7P	0	0	0	0	0	0	0	1.58	0	0	2	4
cell_6623 	Epi-Ect	7P	0	1.58	0	0	0	0	0	0	0	0	2	4
cell_6857 	Epi-Ect	7P	0	2.58	0	0	0	0	0	0	0	0	0	4
cell_6885 	Epi-Ect	7P	0	0	0	0	0	0	0	0	0	0	0	4
cell_6974 	Epi-Ect	7P	0	1	0	0	0	0	0	0	0	0	0	4
cell_7027 	Epi-Ect	7P	0	0	0	0	0	0	0	0	0	0	0	4
cell_7108 	Epi-Ect	7P	0	1	0	0	0	0	0	0	0	0	0	4
cell_7143 	Epi-Ect	7P	0	1.58	0	0	0	0	0	0	0	0	1	4
cell_7168 	Epi-Ect	7P	0	1	0	0	0	0	0	1	0	0	1.58	4
cell_7171 	Epi-Ect	7P	0	1	0	0	0	0	0	1	0	0	2.81	4
cell_7200 	Epi-Ect	7P	0	1	0	0	0	0	0	1	0	0	0	4
cell_7458 	Epi-Ect	7P	0	1	0	0	0	0	0	1	0	0	1.58	4
cell_7571 	Epi-Ect	7P	0	0	0	0	0	0	0	0	0	0	0	4
cell_5581 	Epi-Ect	7P	0	0	0	0	0	0	0	0	0	0	1.58	4
cell_5799 	Epi-Ect	7P	2	0	1	3.17	0	0	0	1	0	0	0	4
cell_6362 	Epi-Ect	7P	0	0	0	3.32	0	0	0	1	0	0	0	4
cell_6850 	Epi-Ect	7P	0	0	1.58	3.81	0	0	1.58	0	0	0	1	4
cell_5578 	Epi-Ect	7P	1.58	0	1	2.81	0	0	1	1.58	0	0	1	4
cell_7154 	Epi-Ect	7P	2.32	0	2.81	3.17	0	0	1.58	2	1.58	0	0	4
cell_7410 	Epi-Ect	7P	2.58	0	2.81	1	0	0	0	1	1	0	0	4
cell_5646 	Epi-Ect	7P	0	0	2.32	2.32	0	0	0	1.58	0	0	0	4
cell_6156 	Epi-Ect	7P	2.81	0	1	2.58	0	0	0	1	0	0	2.32	4
cell_6955 	Epi-Ect	7P	1.58	0	3.17	3.81	0	0	0	2.58	0	0	1.58	4
cell_5495 	Epi-Ect	7P	0	0	1	2.32	0	0	0	2	0	0	1.58	4
cell_5551 	Epi-Ect	7P	0	0	1	3.46	0	0	0	1.58	1	0	1	4
cell_5573 	Epi-Ect	7P	1.58	0	1	2.32	0	0	0	2.58	0	0	2	4
cell_5607 	Epi-Ect	7P	1	0	1	3	0	0	0	1.58	0	0	2	4
cell_5692 	Epi-Ect	7P	0	0	1	3.17	0	0	0	2.32	0	0	1.58	4
cell_5858 	Epi-Ect	7P	0	0	1.58	2.58	0	0	0	2.58	1	0	2.81	4
cell_5886 	Epi-Ect	7P	0	0	2.81	1	0	0	0	1.58	0	0	1	4
cell_5892 	Epi-Ect	7P	0	0	1.58	2.81	0	0	0	3.17	1	0	3.81	4
cell_5917 	Epi-Ect	7P	1	0	1.58	3.58	0	0	0	1	0	0	2.32	4
cell_6015 	Epi-Ect	7P	1	0	2.32	4.58	0	0	0	1	0	0	1.58	4
cell_6113 	Epi-Ect	7P	1.58	0	2	3.17	0	0	0	1.58	1	0	2.58	4
cell_6185 	Epi-Ect	7P	1	0	3.46	4.58	0	0	0	2	2	0	2.81	4
cell_6300 	Epi-Ect	7P	1	0	3.17	3.58	0	0	0	1	0	0	1	4
cell_6477 	Epi-Ect	7P	1	0	2.81	2.32	0	0	0	2	0	0	1.58	4
cell_6495 	Epi-Ect	7P	2	0	2	4	0	0	0	1	0	0	1	4
cell_6498 	Epi-Ect	7P	1	0	1	3.17	0	0	0	1.58	0	0	1	4
cell_6766 	Epi-Ect	7P	1	0	1	3.17	0	0	0	2	0	0	2	4
cell_6841 	Epi-Ect	7P	1.58	0	3.32	4.25	0	0	0	2.58	1	0	3	4
cell_6856 	Epi-Ect	7P	1	0	2.81	3.7	0	0	0	1.58	0	0	1	4
cell_7102 	Epi-Ect	7P	0	0	1	3.81	0	0	0	2	0	0	0	4
cell_7121 	Epi-Ect	7P	2.58	0	1	3	0	0	0	1.58	0	0	1.58	4
cell_7147 	Epi-Ect	7P	0	0	2	0	0	0	0	2.81	0	0	3.32	4
cell_7301 	Epi-Ect	7P	1	0	1.58	4	0	0	0	1.58	1	0	0	4
cell_7350 	Epi-Ect	7P	1	0	2	2.58	0	0	0	2	0	0	3	4
cell_7402 	Epi-Ect	7P	1.58	0	2	3.32	0	0	0	3.17	1	0	1	4
cell_7476 	Epi-Ect	7P	3	0	3	4.39	0	0	0	1	1	0	2.32	4
cell_7523 	Epi-Ect	7P	1.58	0	1	2.81	0	0	0	2	0	0	2	4
cell_7552 	Epi-Ect	7P	3.58	1	1	3.91	0	0	0	1	0	0	1	4
cell_7607 	Epi-Ect	7P	0	0	1	2	0	0	0	0	0	0	0	4
cell_6037 	Epi-Ect	7P	1.58	0	0	3.17	0	0	0	0	1	0	1.58	4
