Genes	1AP	2A	2P	3A	3P	4A	4P	5A	5P	6A	6P	7A	7P	8A	8P
Nfia	0.1	0.1	0.2	0	0.2	0	0.1	0	0.1	0	0.3	0	0	0	0
Nfib	0.6	1	1.1	1	0.8	0.9	0.5	0.8	0.4	0.7	0.3	1.1	1.1	0.6	1.1
Nfic	0.5	0.9	0.7	0.7	0.7	0.7	0.7	0.6	0.3	0.3	0.2	0.3	0.3	0.6	0.6
Nfil3	0	1.6	1.2	1.2	1.1	1.4	1	1.5	1	0.7	0.9	1.6	1.7	1.9	2.6
Nfkb1	0.9	0.7	0.5	0	0.5	0.6	0.4	1.1	1.6	1.1	0.6	0.2	1.3	2	0.5
Nfkb2	0	1.2	0	1.2	0.7	1.2	1.3	1.2	1	1.9	1.3	1.2	1.9	0.1	1.3
Nfkbia	0.6	3.4	2.2	3	2.2	2.3	2.2	1.6	1.8	2.6	2.5	3.6	3.2	2.6	2.2
Nfkbib	1.4	3	3.7	4.1	3.8	3.9	3.8	3.6	4	4.2	4.4	3.9	4.3	4.7	3.9
Nfkbid	0	0.2	0.6	0.5	1.3	0.7	1.9	0.8	0.9	2	1.8	1.5	1.9	1.2	1.5
Nfkbil1	2.1	3.1	2.2	2.3	1.9	1.9	1.6	1.5	1.6	2.3	1	2.4	2.8	2.4	2
Nfkbiz	1.8	1.3	1.6	1.2	1.6	1.2	1.5	1.2	1.2	1.4	1.5	2	1.3	2.3	1.6
Nfrkb	0.5	1.5	1.7	1.7	2	2	2.2	2.2	1.7	1.7	1.6	1.2	2.1	2	1.6
Nfs1	3.1	2.9	3.7	3.6	3.4	3.5	3	3.4	3.8	3.8	3	3.7	3.3	4.3	3.7
Nfu1	2.8	4.5	4.8	5.3	5.2	5.2	5.5	5.1	5.4	5.4	5	4.9	5	5.1	5.4
Nfx1	3.2	4.1	3.8	3.6	3.8	3.7	3.7	3.7	3.9	3.6	4	4	4	4	3.9
Nfxl1	2.3	1.9	2.7	2	2.5	2.2	2.2	2.4	2.8	2.8	2.8	2.6	3	3	2.7
Nfya	0.8	1	1.2	1.3	1.1	1.4	1	1.4	1.4	1.8	1	2	1.3	1.4	1.1
Nfyb	3.7	5	5	4.8	4.9	5	4.8	5.1	5.1	5	5.2	4.8	5.5	5.1	5.2
Nfyc	3.7	4.2	4.9	4.3	4.6	4.5	4.2	4.6	4.5	4.8	4.9	4.7	4.5	5.1	4.7
Ngb	0.6	0	0.7	1.5	0.7	0.8	0.7	0	0	0	0.7	1.6	1.9	0	0.2
Ngdn	4.4	4.9	5.3	5.5	5.4	5.5	5.4	5.5	4.7	5.7	5.7	5.5	6	5.6	5.4
Ngfrap1	6.4	8	8	8	8.1	8	8.1	8	8.4	8.5	8.8	8.4	8.7	9.1	8.6
Ngly1	0	0.2	0.9	0.2	0.6	0.2	0.2	0.2	0.8	1.3	0.7	0.3	1.9	0	1.9
Ngrn	3.6	4.6	4.7	4.5	4.6	4.5	4.5	4.5	4.1	4.2	4.2	4.7	4.7	4.8	4.1
Nhej1	3.5	2.4	3.9	3.1	3.7	3.6	3.4	4	2.3	1.7	3.7	3.9	3.7	3.5	3.8
Nhlrc2	1.1	2	2.9	1.9	2.3	2.5	1.6	3	2.9	2.2	2.4	2.7	2.5	2.5	2.4
Nhlrc3	0.6	0	0	0.3	0.2	0.3	0.3	0.3	0	1.2	0.2	0.5	0	0.3	2.1
Nhp2	7.2	8.5	8.6	8.6	8.6	8.5	8.5	8.3	8.5	8.9	9	8.7	9	8.9	8.8
Nhp2l1	7.1	8.4	8.5	8.6	8.5	8.6	8.4	8.6	8.7	8.7	8.9	8.8	8.6	8.9	8.9
Nhsl1	0.6	0.8	1.4	0.8	1.2	0.8	1	0.8	0.6	0.9	0.8	1.5	0.7	0.6	1
Nicn1	1.8	2.7	2.8	3	2.7	2.8	2.6	2.5	3.3	2.6	2.8	2.3	3.2	2.7	3.1
Nid1	0.3	0	0.3	0.7	0.3	0.4	0.2	0.1	0.3	0	0.2	0	0	1.4	0
Nid2	1.3	1.9	2.2	2.3	2.4	2.5	2.5	2.7	2.5	2.4	3	1.9	2.3	2.5	2.9
Nif3l1	3.5	4.6	4.8	4.6	4.5	4.4	4.2	4.1	4.4	4.7	5.3	4.7	4.7	5.1	5.1
Nin	0.4	1.2	0	0.5	0.5	0.7	0.9	0.9	0.9	0.9	1.6	1.2	1.3	0.3	1.8
Ninj1	0.8	3.6	3.6	2.5	3.4	3.2	3.2	3.8	3.1	4.3	3.3	4.1	3.2	4.4	3.4
Ninj2	0	0	0	0	0.7	0	1.3	0	1.6	0	3.1	0	0.6	0	2.1
Ninl	0.8	2	1	1.6	1.5	1.6	1.9	1.6	1.7	1.2	2.1	2.3	2.2	1	2
Nip7	5.7	6.2	6.5	6.3	6.5	6.4	6.5	6.5	6.3	6.5	6.4	6.7	6.6	6.7	6.1
Nipa1	0.8	1	0.2	0	0.4	0.6	0.6	1.2	1.2	0.2	1.2	0.6	0	0	0.8
Nipa2	3	3.5	3.5	3.1	3.5	3.2	3.4	3.2	3.5	3.1	3.7	3.7	3.6	3	4.1
Nipal2	0.2	0	0	0	0.2	0.1	0.3	0.2	0.2	0	0	0	0.1	0	0.3
Nipal3	0	0.3	1.1	0.9	0.9	0.5	0.6	0.1	0.1	1	0.2	1.5	0.1	0	0
Nipbl	2.9	3.9	3.8	4	3.7	3.9	3.6	3.7	3.7	3.8	3.8	3.8	3.8	3.7	3.9
Nipsnap1	3.8	4.9	5.5	5.5	5.4	5.5	5.3	5.5	5	5.7	5.2	5.5	5.5	5.1	5.4
Nipsnap3b	2.5	3.5	3.9	3.4	3.7	3.6	3.5	3.8	3.4	4.6	4.3	3.5	3.7	3.1	4.1
Nisch	3	4	4	3.7	4	4.1	3.9	4.4	4	4	4.1	4.4	4.6	4.4	4.1
Nit1	2.9	3.9	3.5	3.8	3.5	3.8	3.4	3.8	3.3	3.8	3.8	4.2	3.9	4	4.2
Nit2	2.6	3.9	4.4	4.3	4.5	3.9	4.5	3.4	4.5	4.2	4.7	4.2	4.6	5	4.8
Nkain1	2.2	3.1	3.3	3.8	3.4	3.7	3.5	3.5	3.6	3.8	3.9	3.5	3.5	2.2	3.5
Nkain2	0.7	0.1	0.9	0.7	0.5	0.6	0	0.4	0.3	0.4	0.1	0.4	0	0.1	0
Nkain4	0	0.5	0	0	0	0.3	0	0.6	1.3	1.5	0.7	0.5	0	0	0
Nkap	2.1	2	2.6	2.6	2.5	2.6	2.3	2.5	3.1	2.9	2.8	2.3	2.5	2.2	3
Nkapl	0	1.8	1.3	1.9	1.1	2	0.8	2	1.3	2.3	1.4	1.4	1.5	1.8	0
Nkd1	0	0.1	0.5	0.7	0.5	1	0.4	1.2	1.5	0.4	1.7	0.4	1.9	1	2
Nkd2	0	0.3	0.3	1.2	0.5	1	0.6	0.7	0.8	1.1	0.5	0.5	0.3	1.4	0.9
Nkiras1	0.6	0.9	0.8	0.7	0.9	1.1	0.9	1.5	1.1	1.3	1.7	1.3	1.2	1.5	1.6
Nkiras2	0	1.4	0.7	0.3	1	0.6	1.2	0.8	1.7	0.4	1.5	0	0	1.6	1.5
Nkrf	1.9	2.8	2.8	2.2	2.7	2.5	2.5	2.8	3.1	2.7	2.9	2.5	2.3	2.8	3
Nktr	2	2.8	2.7	3	2.8	2.9	2.8	2.8	2.9	2.5	2.6	3.1	3.3	2.6	3.1
Nkx6-2	0	0.3	0.2	0	0.1	0.3	0	0.6	0.2	0.9	1	0.8	1.1	0.4	0.8
Nle1	1.7	3.1	2.9	3	3.1	3	3.2	3	3.6	3.8	3.6	3.6	3.8	3.2	3.8
Nlgn2	0.8	2	1.7	1.9	1.7	2	1.6	2	1.6	1.7	1.6	2.1	2.4	2.3	2.1
Nlgn3	0	0.8	0.2	1.6	0.6	1.4	0.9	1.1	0.4	0.7	0.4	0	0.8	0.7	0.6
Nlk	2.4	2.8	2.5	2.4	2.7	2.7	2.9	3	3.3	3.3	3.3	3.5	3.6	2.9	3.5
Nln	1.9	2.5	2.6	2.2	2.5	2.5	2.3	2.7	2.2	2.4	3.3	2.8	2.6	2.7	2.4
Nlrp10	0.6	0.3	0	0.1	0	0.1	0	0	0	0.1	0	0	0	0	0
Nlrp1a	3.7	3.9	3.6	3.8	3.8	3.9	4	3.9	4.2	3.8	3.6	3.9	4.1	3.8	3.9
Nlrp4c	0	0.1	0	0.1	0.1	0.1	0.2	0.1	0	0.1	0	0.3	0	1.7	0.2
Nlrp4e	0	0	0	0	0	0.1	0	0.1	0	0.3	0	0	0	0	0
Nlrp5-ps	0	0	0.1	0	0.2	0	0.2	0	0	0	0	0	0	0	0
Nlrp9a	0	0	0.3	0.2	0.2	0.2	0	0.2	0	0	0.1	0	0.3	0	0.2
Nmb	1.2	3.1	2.9	2.6	3.2	2.4	3.4	2.1	3.1	2.3	3	3.3	2.8	2.5	1.8
Nmd3	4.3	5.4	5.9	5.1	5.8	5.3	5.7	5.5	5.5	5.7	5.8	5.7	5.6	5.4	6
Nme1	7.5	8.5	8.7	8.6	8.7	8.6	8.6	8.6	8.9	8.8	9.1	8.9	9	8.9	8.9
Nme2	7.8	9.8	10	10.1	10	9.8	10	9.5	10	10.2	10.4	10	10.4	10.4	10.1
Nme3	5.9	6.8	7	7	7.1	6.9	7.1	6.8	6.6	7.5	6.9	7.3	6.5	7.2	7.2
Nme4	5.1	6.1	6.6	6.6	6.6	6.5	6.5	6.3	6.5	6.6	7	6.8	6.9	7	6.8
Nme5	0	0	0	0	0	0	0	0	1	0	0.8	0	2.4	0	0
Nme6	4.3	5.1	5.8	5	5.7	4.8	5.5	4.5	4.9	5	5.9	5.4	5.7	5.6	5.5
Nme7	2.3	4.1	4.2	3.4	4	3.5	3.7	3.5	2.9	4.3	4.3	3.6	4.4	3.7	4.4
Nmi	0	1.6	0.6	1.8	1	1.1	1.4	0.4	1.2	0.6	2	1.4	0.9	2.2	2.5
Nmnat1	0.9	2.8	2.3	1	2	1.6	1.7	2.1	1.2	2.2	2.3	2.5	3	2.1	2.6
Nmnat2	0.4	1.6	2.2	1.2	2.1	1.3	1.9	1.4	1.9	0.9	1.9	1.2	1.6	1.7	1.3
Nmral1	3.5	4.8	5	4.6	5	4.8	4.9	4.9	5.5	5.4	5.5	4.8	5.4	5.9	5.4
Nmrk1	4	4.4	3.8	3.8	4.3	4.1	4.8	4.3	3.5	4.6	3.4	4.7	4.9	4.5	4
Nmt1	3.6	5.1	5	4.7	5.2	4.9	5.3	5.1	4.9	5.2	5.3	5.6	5.6	5.6	5.6
Nmt2	1.4	1.8	2.4	2.9	2.5	2.7	2.5	2.4	2	2.7	2.7	3.8	3.3	3.6	2.7
Nnat	3.8	5	5	4.9	4.8	5.2	4.5	5.5	4.8	5.7	4.9	5.3	4.6	5.3	4.5
Nnt	2	2.9	3.1	2.7	2.4	2.7	1.7	2.6	2.1	2.6	3	2.7	2.1	2.2	2.7
Noa1	1.7	3.8	3.8	3.4	3.2	3.4	2.6	3.3	3.1	3.6	3.6	2.5	3.4	3.4	3.5
Nob1	3.9	4.8	5.2	5.3	5.3	5.3	5.3	5.2	4.8	5	5.3	4.7	5.1	5.1	5.4
Noc2l	3.1	3.6	4	3.9	3.9	3.8	3.7	3.7	3.8	4.2	4.2	4.3	4.7	4.3	3.9
Noc3l	2.3	2.4	3.2	2.9	3.3	3	3.3	3	3.5	3.6	3.2	3	2.9	2.5	3.1
Noc4l	4.4	5.1	5.3	5.1	5	5.2	4.7	5.3	4.9	5.3	5.4	5.3	5.7	5.2	5.1
Nod1	0	0	0.1	0	0.1	0	0.1	0	0.2	0.9	0.5	0	0.3	0.8	0
Nodal	2.4	1.9	4.5	2.4	4.6	2	4.6	1.6	4.6	4.1	5	3.4	5	4.9	4.1
Nog	0	0	0	0	0	0	0	0	0	0.4	0	0.8	0.2	0	0
Nol10	2.6	3.5	3.7	4.1	3.7	4.1	3.6	4	3.9	3.5	3.8	3.6	3.8	3.7	3.7
Nol11	3.5	4.5	4.6	4.4	4.5	4.5	4.4	4.5	4.9	5	4.6	5.1	4.9	4.9	4.6
Nol12	3.5	4.2	4.5	4.1	4.3	4.2	4.1	4.2	4.4	4.5	4.7	4	4.6	4.7	4.4
Nol6	2.1	3.1	3.2	3.4	3.3	3	3.3	2.6	3.1	3.6	3.5	3.1	3.3	3.6	2.9
Nol7	4.3	5.6	5.4	4.9	5.3	5.2	5.2	5.4	5.4	5.6	5.6	5.5	5.6	5.6	5.1
Nol8	3.4	4	3.9	4.2	4	4	4.1	3.7	3.8	4.2	4.3	4.2	4.4	3.9	4.1
Nol9	3.4	4.5	4.3	4.5	4.5	4.3	4.6	4.1	4.5	4.6	4.9	4.9	4.6	4.8	4.7
Nolc1	4.8	6	6.2	5.8	6	5.7	5.8	5.6	5.7	6.1	5.9	5.9	6.2	6.2	5.9
Nom1	3.2	3.7	3.2	3.7	3.4	3.7	3.5	3.7	3.6	3.8	3.6	2.9	3.5	3.3	3.5
Nomo1	2.1	2.4	2.3	3.3	2.6	3	2.9	2.6	3	2.9	2.9	2.9	3.2	2.9	2.9
Nono	5.8	6.7	6.9	6.7	6.8	6.9	6.7	7.1	6.9	7	7.3	7.2	7.2	7.1	7.2
Nop10	7.7	9.2	9.3	9.3	9.4	9.2	9.4	9.1	9.4	9.5	9.7	9.3	9.6	9.6	9.7
Nop14	3.5	4.7	4.8	4.5	4.7	4.5	4.5	4.5	4.8	5	5	4.8	4.7	4.6	4.8
Nop16	3.8	6	6	5.8	6	5.7	6	5.6	5.9	6.1	6	6	6.3	6.2	6.3
Nop2	3.3	4.9	5.4	5.2	5.3	5.2	5.1	5.1	5.4	5.6	5.6	5.1	5.6	5.4	5.3
Nop56	6	7.1	7	7.2	7	7.2	7	7.1	7.2	7.2	7.4	7.1	7.2	7.3	7.3
Nop58	6.4	7.4	7.5	7.3	7.5	7.3	7.4	7.2	7.3	7.5	7.6	7.4	7.3	7.5	7.4
Nop9	2.2	3.6	3.8	3.3	3.9	3.3	4	3.3	3.7	4.2	4.4	3.9	4.2	4	3.7
Nosip	3	3.8	4.3	4	4.3	4.1	4.3	4.2	4	4.2	4.4	3.9	4.3	4.5	4.6
Nostrin	0	0	0.5	0.3	0.3	0.2	0	0	0.3	0.8	0	1.2	0	1.4	0
Notch2	1.1	2.1	1.7	1.5	1.9	1.7	2	1.9	2.2	2.3	2.1	1.9	2.3	2.1	2.5
Notch3	1	0.7	1.1	1	1.3	1.3	1.4	1.5	0.9	1.6	1.1	1.3	1	1.3	1.1
Notch4	0.3	0.5	0	0.4	0.1	0.4	0.2	0.4	0.1	0.4	0.1	0.5	0.6	0.4	0
Notum	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0
Nox4	0.3	0.1	0.9	0.7	0.8	0.7	0.7	0.7	0.3	0.2	0.8	0	0.3	0.4	1
Noxred1	0	0.3	1	0.4	1.1	0.9	1.2	1.4	0.6	0.6	1.7	1.1	0.3	1.9	1.6
Npat	2.3	2.6	2.4	2.8	2.6	2.9	2.8	2.9	2.9	2.7	2.5	2.2	2.6	3	3
Npc1	1.1	1.8	2.2	1.7	2.1	2.1	2	2.4	2.5	2.1	2.2	2.5	2.7	2	2.3
Npc2	3.2	3.8	4.1	4.5	4.5	4.4	4.8	4.2	5	4.7	5.1	4.6	4.8	4.8	5.1
Npcd	0.8	0.1	0.4	0	0.6	0.1	0.8	0.2	0.7	0.1	0.3	0.5	1.1	1.6	0.6
Npdc1	0.6	3.4	2.6	2.9	1.8	2.6	1	2.2	1.2	2.4	1.6	1.7	1.7	2.6	2.3
Npepl1	2.1	2.4	2.4	2.3	2.7	2.7	3	3	2.5	2.6	2.9	3.3	2.8	3.4	2.6
Npepps	3.2	4	3.9	3.6	3.8	3.7	3.6	3.8	4	4.3	3.5	4.1	4.2	4.2	4
Npff	0.9	2.2	0	0.5	0	0.3	0	0	0	0	2.2	1.1	0	1.1	2.4
Nphp1	1.2	1.3	2.3	1.5	2.1	1.5	1.9	1.4	1.6	2.1	2.5	1.4	1.1	1.4	2.8
Nphp3	1.5	1.3	1.6	0.3	1.4	0.6	1.2	0.8	1.3	0.8	1	1.3	1.6	0.9	0.8
Nphp4	0.5	0.1	0	0.4	0.6	0.7	1.1	1	0.1	0.2	0.3	0.6	0.5	0.1	0.5
Nphs1as	0	0	0	1.2	0	0.8	0	0.4	0.3	0	0	0	0	0	0
Npl	1.9	0	2	0	1	0	0	0	1.2	0.6	1.9	0.6	3	1.2	1.9
Nploc4	2.2	2.7	2	2.7	2.3	2.9	2.6	3	3.1	3.1	3.3	3	3.3	3	3.2
Npm1	10.8	11.6	11.7	11.7	11.7	11.7	11.7	11.7	11.8	11.8	12	11.9	11.9	11.8	12
Npm2	0	1.9	0	0	0	0.6	0	1.1	0	0	0	0	0	0	0.7
Npm3	5.8	6.8	7.3	6.9	7.5	6.9	7.6	6.9	8.2	7.3	8.4	7.5	7.9	7.4	8.1
Npm3-ps1	2.8	2.9	3	2.6	2.9	2.7	2.8	2.7	4.1	2.4	4.2	2.9	3.7	3	3.5
Nppb	2.4	0	2.3	0.7	1.2	0.4	0	0	2.2	0.6	0.8	0	0	0	1.2
Nppc	0	0	1	0	0.5	0.6	0	1.1	0	0	0	0.8	0	0	0
Npr1	0	0.3	0.6	0.5	0.3	0.7	0	0.8	0.7	0.4	0.2	0.8	0.4	0.1	0
Npr3	0	0	0.1	0	0.1	0.1	0	0.1	0	0	0.2	0	0	0.1	0
Nprl2	2.5	2	2.3	2.8	2.7	2.9	3.1	2.9	2.9	3.6	3.4	3.3	3.6	2.9	0.7
Nprl3	1.2	1.2	2.1	1	2	1.4	1.9	1.7	1.9	1.8	2.9	2	2.1	1.8	2.6
Nptn	3.2	4	4	4.4	3.8	3.7	3.5	3	3.8	3.5	4.1	3.8	3.8	4.6	3.5
Nptx2	0.4	0.6	1.1	1.3	1.1	1.5	1	1.7	0.8	1.1	1.6	1.2	0.9	1.2	1
Npw	0	1.7	0.8	0	0.4	0	0	0	0.8	1.6	0	0	2	2.6	0
Npy	0	0	0	0	0	0	0	0	0	0	3.2	0	0	0	0
Npy2r	1.3	0	0	0.2	0	0.3	0	0.4	0	0	0	0	0	0	0
Nqo1	0.6	1.7	0	0.3	0.4	0.9	0.7	1.4	0.9	1	0.4	1.5	1.1	1.4	0.6
Nqo2	1.7	2.2	1.5	1.8	1.7	2	1.9	2.1	1.4	2.4	2.1	2.3	1.9	1.7	2.7
Nr0b1	0	0.5	0	0.9	0	0.7	0	0.5	0	0.8	0	0	0	3.8	0
Nr1d1	0	0.6	1.6	1.2	1	1.4	0.3	1.5	0.6	1.5	1.3	1.4	1	1.5	1.4
Nr1d2	1.9	1.7	1.6	1.1	1.5	1.7	1.4	2.3	1.1	1.5	1.7	2	1.7	1.7	2.1
Nr1h2	2.6	3.4	3.9	4.4	3.9	4.2	3.8	3.9	3.2	4.1	4.4	3.6	4.4	4.5	4.2
Nr1h3	0	0	0.2	0	0.7	0.7	1.1	1.3	1.4	0.9	1.2	1.3	0	0.9	0
Nr2c1	0.5	0.9	0.3	1.1	0.7	1	1.1	0.8	0.7	1.2	1.2	0.4	1.5	1.2	0.9
Nr2c2	0.6	1.2	1.9	1.8	1.5	1.9	1	2	1.7	1.7	1.8	1.9	1.9	1.4	1.9
Nr2c2ap	3.7	5.2	4.8	4.6	4.8	4.6	4.8	4.6	4.6	4.8	4.6	5.2	4.7	5.2	4.4
Nr2f2	0	0	0.2	0.2	0.2	0.1	0.1	0	0	0	0.1	0.2	0	0.6	0
Nr2f6	2.3	3.4	2.9	3.2	2.8	3.4	2.7	3.5	3.4	3.3	2.9	3.2	3.3	2.7	2.8
Nr3c1	0.2	0.8	0.7	0.7	0.7	0.6	0.7	0.5	0.7	0.7	0.4	0.8	0.4	0.4	0.9
Nr4a1	0.4	1	0.3	1.2	0.2	1.5	0	1.8	0.6	1.3	1.1	0.2	0.6	1	0
Nr6a1	3.2	3.9	4	3.9	4	4.1	4	4.2	3.8	4.3	4.1	4.4	4.3	4.3	3.9
Nradd	1.6	4	3.7	4	3.5	3.6	3.3	3.1	3.1	3.7	4.1	3.6	3.5	4.2	4.9
Nrarp	0.4	0.5	1	0	0.9	0.3	0.7	0.6	1.9	1.3	0.9	0.3	1	1.5	0.8
Nras	4.1	5	5.2	5.3	5.4	5.3	5.6	5.2	5.1	5.5	5.4	5.6	5.4	5.3	5.4
Nrbf2	2.4	3.7	3.4	3	3.5	3.4	3.5	3.8	3.9	3.7	3.3	4	3	3.3	3.6
Nrbp1	2.9	4.2	4.4	3.9	4.3	4.1	4.2	4.2	4.4	4	5	4.1	4.9	4.6	3.9
Nrbp2	0.7	1	0	0	0.1	0.7	0.2	1.3	0.6	0	0.3	0.5	0.2	0	0.6
Nrcam	0.6	0.6	2.1	1	2	1.1	1.8	1.2	0.8	1.6	1.2	0.6	2	0.3	1
Nrd1	3	3.2	3.3	3	3.2	3.1	3.1	3.1	3.2	3.5	3.4	3.5	3.6	3.7	3.6
Nrde2	1.6	2.2	2.5	2.4	2.4	2.4	2.3	2.3	2.6	2.4	1.9	3.1	2.8	3.3	2.3
Nrep	1	2.9	3	2	2.9	1.6	2.8	1.2	2.9	2.6	2.9	2.3	2.8	2.8	2.9
Nrf1	1.5	3	3.8	3	3.4	2.8	3	2.5	3.5	3.1	3.6	2.9	2.9	3.5	3.5
Nrg1	0	0.2	1.2	0.3	0.6	0.8	0	1.3	0.6	0.2	0.3	0.2	0	0	0.2
Nrg4	0	0.8	0.9	0.3	0.6	0.6	0.2	0.8	0.6	0.7	0.5	0	0.2	0.7	0
Nrip1	0.4	1.1	0.8	0.8	1.1	0.8	1.4	0.7	1.7	1.6	1.9	1.2	0.6	1.6	1.5
Nrip2	0	0	0	0.3	0.1	0.2	0.2	0	0.3	0.9	0.7	0	0.3	0	0
Nrk	0.5	0.1	1.2	0.9	0.7	0.7	0.2	0.5	1	0.4	0.8	0.2	1.3	0.5	0.1
Nrm	2.4	3.5	4.6	3.7	4.2	3.8	3.8	3.8	3.4	4.1	3.9	2.8	4.5	4.3	4.6
Nrn1	1	0.3	0	0	0	0.2	0	0.3	0	0	0	1.9	0	0	0
Nrn1l	0	1.7	1.7	1.5	1.7	1.6	1.7	1.7	0	2.2	1.9	0.8	1.3	0.7	2
Nrp	1.7	3.1	2.6	2.9	2.6	2.9	2.6	2.8	3.4	2.8	2.7	2.9	3.4	3.2	3.2
Nrp1	0	0	0.1	0	0.1	0.1	0	0.2	0	0.1	0.3	0.1	0	0	0.2
Nrp2	0.7	0.1	0.2	0.2	0.3	0.3	0.3	0.4	0.1	0.1	0.5	0.1	0.5	1.6	0.8
Nrsn1	0.4	0	0.8	0.5	0.5	0.3	0.2	0	0.4	0.9	0.2	1.1	0	0.9	0.5
Nrtn	0	1.1	1.1	1.2	1	1.4	0.8	1.6	1.9	1.6	0.3	0.4	0.5	1	0.4
Nrxn1	0	0.3	0	0.1	0.3	0.1	0.5	0	0.8	0.3	0.8	0.3	0.4	0.1	0.3
Nsa2	4.5	5.6	5.5	5.6	5.5	5.5	5.4	5.3	5.6	5.7	5.6	5.7	6	5.8	6
Nsd1	2.8	3.2	3.3	3.3	3.3	3.2	3.2	3	3.2	3.2	3.2	3.2	3.2	3.2	3.1
Nsdhl	1.4	0.9	2	3.2	1.9	2.9	1.8	2.5	2.6	2.2	3.4	3.3	2.8	3.1	3.5
Nsf	2.3	3.3	3.3	2.7	3.3	2.8	3.3	2.9	3.6	3.3	3.3	3.1	3.8	4	3.6
Nsfl1c	4.8	6.1	6	5.9	6.2	6	6.3	6.1	6.1	6.6	6.6	6.5	6.4	6.6	6.4
Nsg1	0.8	2.1	0	0.8	0.7	0.9	1.3	0.9	1.8	0.9	1.6	1.8	1.5	1.3	1.7
Nsl1	2	2.6	2.9	2	2.6	2.5	2.2	3	2.5	1.9	3	2.5	3.1	2.5	2.5
Nsmaf	0.9	2.3	1.4	2.3	1.7	2.2	1.9	2	1.8	3	2.2	2.5	3	2.7	2.3
Nsmce1	3.1	4.5	4.9	5	5	5	5	5	5.1	5.8	4.9	5.2	5.6	5.7	5
Nsmce2	3.6	5.2	5.6	5.8	5.6	5.7	5.6	5.5	5.7	5.7	6.3	5.8	5.8	5.9	6.2
Nsmce4a	5.1	5.7	5.9	5.8	5.9	6	5.8	6.1	6	6.1	5.8	6	5.9	6	6.5
Nsmf	0	1.8	1	1.8	0.7	1.5	0.4	1.1	1.9	1.1	2.8	2.2	1	2	1.3
Nsun2	4.5	5.3	5.5	5.6	5.3	5.6	5.1	5.6	5.4	5.6	5.6	5.7	5.8	5.9	5.6
Nsun3	0	0	0.8	1.2	0.4	0.9	0	0.6	0	1.2	0.7	0	0	0	0.5
Nsun4	1.4	1.5	0.1	1.2	0.9	1.1	1.7	1	0.9	0.8	1.7	1.7	2.3	2	1.5
Nsun5	1.2	2.7	3.4	3.3	3.3	3.2	3.2	3	3	3.3	3.5	3.4	3.9	3.3	3.8
Nsun6	1.2	1.2	1.7	2	1.7	1.3	1.7	0.6	1.8	1.8	1.9	1.4	0.5	1.1	1.2
Nt5c	4	5	4.4	4.7	4.5	4.9	4.6	5	4.6	5.2	4.9	5.1	4.7	4.9	4.3
Nt5c2	1.5	2.1	2.2	2.5	2.2	2.3	2.2	2.1	2.5	2.3	3.1	2.2	2.7	2.9	2
Nt5c3	3.1	3.1	3	3.4	3.3	3.3	3.5	3.1	3.6	3.2	3.4	2.8	2.5	3.7	4.2
Nt5c3l	2.8	3.4	4.4	4.3	4.2	4	3.9	3.7	3.9	4.7	4	4.4	4.1	4	4.6
Nt5dc1	1.5	2	1	1.4	1.3	1.6	1.5	1.7	0.9	2.1	1.7	1.3	2.4	1.4	1.4
Nt5dc2	5.3	6.8	6.9	6.7	6.9	6.8	6.8	6.8	7	7.2	7.1	7.2	7.3	7.1	7.2
Nt5dc3	0	0.4	0.7	0	0.4	0.3	0	0.5	0.6	0.4	1.1	0.4	0	0.6	0.1
Nt5e	0	0	0.3	0	0.3	0	0.3	0	0.7	0.1	1.2	0.6	0.1	0.3	0.9
Nt5m	1.1	0	2	1.6	1.6	1.5	1.2	1.3	2	1.2	2.7	0.8	1.6	2.2	1.7
Ntan1	4	4.8	5	5.3	5.1	5.1	5.2	4.9	4.3	5.1	4.9	4.9	4.5	5.5	5.2
Ntf3	0.7	0	1.4	1.6	1.1	0.8	0.8	0	0.4	0	0	0	0	0.8	0
Ntf5	0	0.2	0.7	0	0.4	0.3	0	0.6	0.6	0.6	0.6	0.7	1.1	1.2	0
Nthl1	2.2	3.3	3.5	3.1	3.4	3.6	3.2	4.1	3.4	4.4	3.6	4.5	3.7	3.9	4
Ntmt1	2.3	5.4	5.1	5.1	5	5	4.8	4.8	5.1	5.3	5.4	4.9	5.6	5.3	4.8
Ntn1	0	0	0.1	0	0.3	0	0.5	0	2	0	1.6	0.1	1.3	0.5	1
Ntn3	0.5	0.1	0.5	0.1	0.3	0.1	0	0	0.1	0.4	0	0.8	0	0.3	0.1
Ntpcr	0	2.6	3.7	2.4	3.3	2.9	2.8	3.4	2.3	3.7	3.3	3.7	4	3.5	3.5
Ntrk2	1.1	0.8	0.7	0.8	0.5	1.2	0.2	1.5	0.4	1	0.1	0.2	0.1	0.9	0.7
Nuak2	0.6	1.2	2	1.4	1.5	1.4	0.9	1.4	0.6	1.6	1.4	1.5	0.1	1.8	0.5
Nub1	1.5	2.1	3.1	2.7	2.7	2.7	2.3	2.6	2.6	2.7	3	3.4	2.7	2.8	2.3
Nubp1	2.1	2.9	4	3.1	3.8	3.1	3.5	3.1	3.3	3.8	3.9	2.8	4	3.2	4
Nubp2	3.8	5.2	5.5	5.3	5.5	5.3	5.5	5.2	5.9	5.8	6.2	5.6	6	6.4	5.8
