Genes	2EA(1)	2EP(1)	2EA	2EP	3EA	3EP	4EA	4EP	5EA	5EP	6EA	6EP	7EA	7EP	8EA	8EP
Mmachc	0	0.8	0	0.8	0	2.2	1.5	2.8	3	3.3	0.7	3.3	0.4	3.5	3.2	2.3
Mmadhc	3.7	4.8	3.7	4.8	4.4	2.2	4.4	3	4.4	3.8	1.7	4.9	5.1	5.6	3.6	4.2
Mmd	0	1.4	0	1.4	3.7	0	2.1	0	0.4	0	0	0.4	0.8	0.3	0.2	0
Mmgt1	1.7	1.2	1.7	1.2	1.6	3.2	2.3	2.3	3	1.4	3.3	2.4	3.2	3.1	2.8	2.8
Mmgt2	2	0	2	0	0	0	0.9	0	1.7	0	0.7	3.2	1.7	1.3	1.4	2.3
Mmp11	4	0	4	0	1	0	0.5	0	0	0	0	0	0	1.6	0	0
Mmp14	1.9	3.2	1.9	3.2	0.9	0	0.5	1.2	0	2.3	2.9	1.7	2.7	4	3.5	3.6
Mmp15	0.5	2.9	0.5	2.9	0	0.9	0.7	1.2	1.4	1.4	1	1.6	2	1.3	0.9	3
Mmp2	0	0	0	0	0	0	0	0	0	0	0.4	0	0	2.1	0	0.2
Mmp23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mmp25	0	0	0	0	0	0	0	0	0	0	1.1	0	0.5	1.3	0	0
Mmp9	0	2.2	0	2.2	2.2	0	2.2	1.5	2.2	2.9	0	0	1	0	0	0
Mms19	1.2	2.9	1.2	2.9	1.4	3.3	2	3.1	2.6	2.9	3.1	3.1	2.7	3.1	3.3	3.4
Mms22l	0	2.2	0	2.2	1.3	0	0.7	0.1	0	0.2	1.7	3.4	1	1.7	2	3.6
Mn1	0	0.5	0	0.5	0.8	0	0.4	0	0	0	0	0	0	0.7	0	0.2
Mnat1	0	1.7	0	1.7	0	2.6	0.5	2.5	1	2.4	2.5	3.6	3.3	4.4	2.4	3.5
Mnd1	3.7	2.3	3.7	2.3	0	0	0	0	0	0	4.5	3	4	3	0.6	3.7
Mndal	0	0	0	0	1.1	0	1	0	0.9	0	0	0	0.9	0	0	0
Mnf1	6.7	7.2	6.7	7.2	3.9	6.4	4.9	5.7	5.9	5	6.8	7.6	6.6	7.3	7.7	7.8
Mns1	1	0	1	0	0	3.3	1	3.1	1.9	2.8	0.7	3.4	2.5	3.7	2	3.8
Mnt	1.9	1.8	1.9	1.8	0.6	0	0.3	1.1	0	2.2	1.8	2.4	1.8	2.7	1.1	1.9
Moap1	0.6	0	0.6	0	0.7	0.6	0.4	0.3	0	0	2.3	1.2	2.1	1.6	0	2.1
Mob1a	1.2	0	1.2	0	0	0.7	0.3	0.4	0.6	0	0	2.6	1.5	0.8	0.8	0.4
Mob1b	0	0.5	0	0.5	0	2.1	1.3	1.1	2.5	0	1	0.2	1.6	0.4	1.4	2.6
Mob2	1.9	0	1.9	0	0	1.2	1.9	2.6	3.7	3.9	3.3	3.3	3.2	4.9	2.2	3.8
Mob3a	0	2.9	0	2.9	0	0	0.9	1.4	1.8	2.8	2.5	1.8	2.7	3.1	2.4	3
Mob3b	0	0.3	0	0.3	0.8	0.6	1	1	1.2	1.3	1.3	2.1	1.3	0.8	1.3	0.7
Mob3c	0	0	0	0	0	0	0.5	0	0.9	0	1.6	0.2	0.8	1.3	2.4	2.3
Mob4	4.7	2.9	4.7	2.9	2.5	3.6	1.8	3.3	1.1	2.9	2.9	4.3	4.3	4.3	4.8	4.7
Mocs1	0	0	0	0	0	0.4	0	0.2	0	0	0.5	0	0.3	1.3	0	0
Mocs2	3.7	2.1	3.7	2.1	3.3	0	3.1	0.7	2.8	1.4	2.3	2.9	1.6	3.6	4	3.3
Mocs3	0	0	0	0	0	0	0	0.8	0	1.6	0	0	0.4	0.7	2.5	2.6
Mogat1	0	0	0	0	0	0	0	0	0	0	0	3.2	3.5	0	3.7	0
Mogat2	5.4	2.6	5.4	2.6	1.2	3.7	3.1	3.9	4.9	4	6.5	6.1	6.2	5.6	6.7	6.7
Mogs	1.9	3.4	1.9	3.4	0	1.4	2.2	2.6	4.3	3.8	3.7	4.7	3.6	5	4.5	3.5
Mon1a	0	0	0	0	0	0.9	1.1	2.1	2.2	3.3	2.9	2.6	1.7	1.8	3.4	3.2
Mon1b	0.5	1.4	0.5	1.4	0	0	0	0	0	0	0.7	0.3	0	1.2	1.2	0
Mon2	0	0.2	0	0.2	0	0.6	0.5	1.2	0.9	1.8	1.9	1.6	0.9	1.3	2.1	1.1
Morc2a	0	0.7	0	0.7	0	1.3	0.3	0.8	0.6	0.2	2.1	2.2	1.4	2	2.4	1.9
Morc3	2.4	0	2.4	0	0.6	0	0.5	0.3	0.3	0.5	0.8	1.8	1.6	1.7	1.8	1.4
Morc4	0	1.4	0	1.4	2.1	0.7	2.9	2.1	3.7	3.4	4.4	5.3	3.3	4.8	5.3	5.6
Morf4l1	5.3	5.6	5.3	5.6	4.5	5	5.1	5.4	5.7	5.7	5.9	6.5	5.3	6.7	6.6	6.3
Morf4l2	4	5.8	4	5.8	4.9	4.1	5.4	5.1	5.8	6	5.4	7.4	6.1	7.5	7.9	7.4
Morn2	0	0	0	0	0	0	0	1.3	0	2.6	0	5.3	0	2.1	1.7	3.6
Morn4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4	0.5	0.8
Mos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mospd1	1.1	3.2	1.1	3.2	0	3.1	0.5	1.6	1	0	2	2	2.5	2.5	2.8	2.5
Mospd2	0	0	0	0	1.1	0.5	0.6	0.3	0	0	0	0	0	2	0	0
Mospd3	0	1.1	0	1.1	2.7	0	1.7	0	0.7	0	1.2	1.9	1.2	2.3	1.3	0.5
Mov10	1	0	1	0	0	0	0.7	0	1.4	0	2	0.9	2.7	0.8	2.3	1.1
Moxd1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0	1.4
Mpc1	0	5.5	0	5.5	0	0	1.2	0	2.4	0	0	0	0	0	3.2	3.4
Mpc2	3.8	0	3.8	0	2.8	3.7	1.4	1.9	0	0	0.8	4.1	2.2	3.8	5.6	5.3
Mpdu1	1.3	3.9	1.3	3.9	4.3	1.3	4.3	2.8	4.2	4.2	5	5.1	6	5.6	5.6	5.4
Mpdz	0	0.2	0	0.2	0	0.6	0.2	0.7	0.4	0.7	0.7	1	0.8	2.9	1	1.2
Mpg	0	2.4	0	2.4	3.2	2.5	2.8	3	2.3	3.4	0	2.4	1.7	2.3	3.1	1.4
Mphosph10	4.6	3	4.6	3	4	3.4	3.3	3.1	2.6	2.7	2.6	4.9	3.6	4.6	4.3	4.5
Mphosph6	5.1	3.1	5.1	3.1	3.4	4.8	3.2	3.2	3	1.5	5.6	6	4.4	4.8	2.9	4.7
Mphosph8	3.9	4.6	3.9	4.6	2.6	3	2	3.2	1.4	3.4	4.6	3.9	2.9	5.3	4.2	4.1
Mphosph9	1.6	1.2	1.6	1.2	2.1	0	1.8	1.1	1.4	2.2	1	0.4	1.3	1.4	1.4	0.9
Mpi	0	0	0	0	0	1.4	1.3	2.8	2.6	4.1	0	4.4	2.5	3.8	3.8	3.7
Mplkip	1.3	2.7	1.3	2.7	0	1.2	1.2	1.2	2.4	1.2	1.4	2	1.9	3.6	1	1.7
Mpnd	3.5	0	3.5	0	0	0	1.5	0	2.9	0	3.2	4.2	3.3	3.9	3.1	4.8
Mpp1	0	2.4	0	2.4	0	0	0.4	1.3	0.7	2.5	3.8	3.1	3.4	3.1	3.4	2
Mpp3	0	0	0	0	0	1.2	0	0.6	0	0	0	0	1.1	0.9	0	0
Mpp4	1.7	2.6	1.7	2.6	0	0	0	1.5	0	2.9	1.5	3.1	0	0	0	1.3
Mpp5	2.7	0	2.7	0	4.2	1.3	3.5	2.2	2.8	3	4.3	3.5	3	3.6	3.3	3.2
Mpp6	2.1	0.7	2.1	0.7	1.6	1.4	2	1.3	2.4	1.1	2.9	3.7	2.6	3.9	3.7	2.6
Mpp7	2.4	0.6	2.4	0.6	1.7	3	1.5	1.7	1.3	0.4	3.4	3.3	2.6	2.1	3.4	2.3
Mpped2	0	2.1	0	2.1	0	0	0.9	1.6	1.8	3.2	3.1	3.3	0.3	3.3	3.7	2.8
Mprip	0.7	2.8	0.7	2.8	1	1.6	1.7	1.5	2.4	1.4	2.3	2.7	1.1	3.1	2.2	2.2
Mpst	0	0	0	0	0	0	0	0	0	0	1	2.2	0	0	0	0
Mpv17	4.7	5	4.7	5	1.9	1.7	2.4	3.5	2.9	5.3	3.7	5.2	4.4	4.6	5.6	4
Mpv17l	5.5	5.4	5.5	5.4	6	5.4	6	5.5	5.9	5.6	5.7	6.3	6.6	6.5	5.7	6
Mpv17l2	0	1.4	0	1.4	0	2.1	1.3	1.9	2.5	1.6	1.9	5.2	3.4	3.8	2.6	4.4
Mpzl1	4.6	2.1	4.6	2.1	0	2.5	1.6	2.3	3.2	2	2.5	4	2.5	3.7	3.9	4.5
Mpzl2	1.7	1.9	1.7	1.9	1.2	0	1.6	1.1	2	2.1	1.8	0.3	2.6	0.9	2	0
Mras	0	0	0	0	0	1.4	0	0.7	0	0	1.2	0.4	0	0.3	2.6	3
Mrc2	0	0	0	0	1.1	0.2	0.7	0.1	0.3	0	0	0.8	1.8	2.1	2.1	0.2
Mre11a	0	0	0	0	0.8	1.1	1.4	0.6	2	0	1.9	2	0	2.4	1	1.3
Mreg	2.2	0.7	2.2	0.7	0	1.5	0.2	1.5	0.4	1.4	3.2	3.7	2.8	2.6	4	3.3
Mrfap1	5	6.7	5	6.7	6.5	4.3	6	4.7	5.5	5.1	6	7	6.6	7.4	7.1	7.3
Mrgbp	0	0	0	0	0	0	1.1	0	2.2	0	0	0	0	0	1	1.4
Mrgprb3	0	1.5	0	1.5	0	0	0	0	0	0	0	0	0	0	0	0
Mrgprb8	0	2.7	0	2.7	0	1.8	0.4	0.9	0.8	0	0	0	0	0	0	0
Mrgprx2	0	0	0	0	0	2.3	0	1.6	0	0.9	0	0	0	0	1.5	1.8
Mri1	0	4.1	0	4.1	0	3.2	0.7	1.6	1.3	0	0	3.5	0.8	2.5	2.9	2.8
Mrm1	3.1	0	3.1	0	0	1.1	1	0.6	1.9	0	2.1	3.2	2	1.5	1.9	0.2
Mro	0	0	0	0	0	1.2	0	0.6	0	0	0	2.2	1.4	0.6	0	0
Mroh1	0	0.3	0	0.3	1.8	0.2	1.3	0.1	0.7	0	0.7	2	1.3	1.1	1.6	1
Mrp63	4.4	3.8	4.4	3.8	1.5	1.3	2.9	0.7	4.3	0	3.9	4.5	4.3	4.6	5.1	4
Mrpl1	3.3	1	3.3	1	0	0.7	0.7	2	1.4	3.3	2.4	3.7	2.6	4.2	2.6	3.2
Mrpl10	0	0	0	0	1.2	1.1	1.1	2.2	1	3.2	2.5	5.2	2.8	4.1	3.8	2.1
Mrpl11	3.1	1.6	3.1	1.6	1.7	0.7	1.9	1.9	2.1	3.1	3.7	4.2	2.8	4.1	3.4	3.3
Mrpl12	6.9	6.3	6.9	6.3	5.4	2.7	5.6	4.8	5.7	6.9	6.5	7.6	6.2	7.8	7.1	7.6
Mrpl13	5.5	5.1	5.5	5.1	5.2	4.3	5.4	4.6	5.6	4.9	5.4	5.8	6.1	7	6	5.8
Mrpl14	6	0	6	0	0	3.7	1.4	4.8	2.7	5.8	2.2	4.2	7.1	5.2	6.5	6.2
Mrpl15	3.3	2.2	3.3	2.2	3.3	2.3	2.9	1.5	2.4	0.7	3.6	5.1	3.2	4.9	4.7	4.2
Mrpl16	1.5	0	1.5	0	1.7	2.6	1.6	1.8	1.4	0.9	2.3	3.6	1.4	5.1	4	4.6
Mrpl17	3.2	3	3.2	3	1	1.5	1.9	2.3	2.7	3.1	3.2	4.6	3.5	4	3	3.8
Mrpl18	6.3	6.5	6.3	6.5	3.1	2.9	4.4	3.5	5.6	4	5.1	6.3	6.1	6.4	5.7	6.3
Mrpl19	1.9	3.4	1.9	3.4	3.7	2	3.2	2.5	2.6	3	2.1	2.8	1.6	2.6	1.7	2.8
Mrpl2	4.3	2.9	4.3	2.9	3.1	4.4	3.2	3.8	3.2	3.1	4.1	6.9	5.4	5.7	5.2	6
Mrpl20	5	6.1	5	6.1	3.8	5.6	4.9	6	6	6.3	6.6	7.6	7	8	7.3	7.9
Mrpl21	4.2	5.1	4.2	5.1	3.1	2.8	3.6	3	4.1	3.1	5.3	5.1	4.4	5.1	5.2	6
Mrpl22	2.8	3.4	2.8	3.4	0	1.3	2.3	1.6	4.5	1.9	3.2	4.7	2.6	6.2	5.7	6
Mrpl23	6	3.4	6	3.4	6.7	4.4	5.8	5.8	4.8	7.2	5.9	6.7	6.5	7.6	7	7.3
Mrpl24	0	3.3	0	3.3	0	2.1	2.4	1.1	4.7	0	5.2	4.5	4.2	4.1	4.3	5.2
Mrpl27	6	6.4	6	6.4	4	0	4.2	2.1	4.3	4.1	3.7	6.3	4.6	6.1	6.4	6.6
Mrpl28	5.3	4.4	5.3	4.4	0	5	2.3	3.3	4.6	1.5	5.7	6.7	5.4	6.4	5.8	6.4
Mrpl3	0	4	0	4	2.5	0	1.6	1.4	0.6	2.7	1.9	4.5	4	3.3	3.9	3
Mrpl30	4.8	6.4	4.8	6.4	6.1	4.5	5.5	5.1	4.9	5.6	6.4	5.7	5.4	6.4	6.1	6.1
Mrpl32	2	0	2	0	0	2.4	1.3	2.2	2.6	1.9	4.8	5.4	4.3	5.8	5.6	5.1
Mrpl33	6.9	7.1	6.9	7.1	6	4.7	5.2	5.7	4.4	6.6	6.1	7.2	5.9	7.4	6.9	6.1
Mrpl34	6.2	5	6.2	5	2.4	4.8	3.6	5.5	4.7	6.1	5.5	6.5	5.7	6.7	6.9	6.5
Mrpl35	2.4	0.8	2.4	0.8	1.7	1.8	1.9	2.4	2.1	3	1.6	2.8	3.2	3.2	2.7	2.3
Mrpl36	1.7	5.4	1.7	5.4	0	0	2.5	1.6	4.9	3.1	5	5.7	5.9	5.5	6.3	6.1
Mrpl37	4.6	4.8	4.6	4.8	1.4	3.7	1.4	3.8	1.4	3.9	2.7	5.6	2.8	4.5	2.9	2.5
Mrpl38	2.4	2.7	2.4	2.7	3.8	2.3	3.1	2	2.4	1.6	3	4.3	2.5	3.2	4.6	4.7
Mrpl39	3.4	2.1	3.4	2.1	0	1.3	1.7	1	3.4	0.6	2.3	2.9	3	2.2	4	1.6
Mrpl4	3.1	3.2	3.1	3.2	2.7	2	3.4	3.2	4.1	4.3	1.9	3.7	4	4.9	4.7	5.6
Mrpl40	5.3	5	5.3	5	1.7	2.2	2.4	3.6	3	4.9	3.6	5.5	5	5	3.6	5.9
Mrpl41	0.8	2.7	0.8	2.7	1.9	1.1	2.3	1.7	2.7	2.2	3.7	4.4	2.6	4.4	4.4	3.9
Mrpl42	5.8	6.6	5.8	6.6	5.4	6.4	5.4	5.7	5.3	4.9	7	7.8	6.8	7.4	6.9	7.8
Mrpl43	2.6	0	2.6	0	2.8	2.7	3.5	3	4.1	3.3	4.3	5	4.8	5.2	4.9	6
Mrpl44	3	0	3	0	0	1.2	0.9	2.2	1.8	3.2	3.8	1.7	3.8	4.1	4.1	0.4
Mrpl45	3.5	2.5	3.5	2.5	0.9	0.8	2.6	2	4.2	3.2	3.2	4.2	3.8	3.5	3.9	3.4
Mrpl46	3.9	3.9	3.9	3.9	0	1	1.7	2.4	3.3	3.8	3.7	4.6	4.3	3.4	2.7	5.3
Mrpl47	4.5	1.5	4.5	1.5	0	2.8	2.6	2	5.1	1.1	3.9	5.3	3.1	5.5	4.6	5.7
Mrpl48	3	4.2	3	4.2	4.3	3.3	4	4.1	3.6	4.9	3.4	5.3	4.3	4	4.2	4.6
Mrpl49	2.1	0.9	2.1	0.9	3.7	2.4	2.4	2.9	1	3.4	3.6	5.1	3.8	4.4	4.1	5
Mrpl50	1.9	1.3	1.9	1.3	0	0	1.5	0	2.9	0	3.8	4.7	2.9	4.3	4.7	5
Mrpl51	3.5	4.2	3.5	4.2	3.1	2.4	3.8	3.5	4.4	4.5	4.3	6	5	6	6	5
Mrpl52	6.4	7.7	6.4	7.7	5.7	4.7	5.8	5.2	5.9	5.6	6.7	8.7	7.4	8.2	8.2	8.2
Mrpl53	5.3	4.5	5.3	4.5	4.3	4.1	5	4.4	5.6	4.6	6.2	5.4	5.8	6.8	6.7	6
Mrpl54	4.9	6.8	4.9	6.8	4.9	5.2	5.2	5.8	5.5	6.3	6.4	6.7	6.4	7.3	7.4	7
Mrpl55	3.2	4.4	3.2	4.4	4.6	0	4	1.9	3.3	3.7	3.9	6	4.8	6.1	5.7	5.4
Mrpl9	4.5	2.9	4.5	2.9	2	2.2	1.8	3	1.6	3.8	4.8	3.2	3.4	4.9	3.9	3.2
Mrps10	0	3.8	0	3.8	3.4	3.6	2.2	4.1	0.9	4.6	0.6	3.9	4	5.6	4.6	5.4
Mrps11	4.6	3.7	4.6	3.7	3.4	0	3.3	1.6	3.1	3.1	4.8	5.1	3.7	3	5.1	4.5
Mrps12	5.4	4.3	5.4	4.3	4.6	1.4	5.5	3.8	6.3	6.1	6.4	6.7	5.2	7.1	6.1	7.5
Mrps14	1	3.9	1	3.9	3.9	0	3.8	1.8	3.6	3.6	4.7	4.2	4.2	4.5	4.7	4.7
Mrps15	3.3	4.1	3.3	4.1	0	4.4	0.5	4.4	1	4.4	3.9	5.5	4.8	5.7	5.1	5.7
Mrps16	0	0	0	0	0	2.9	1.7	2.9	3.4	2.8	5.6	5.5	6.1	7.2	7	5.9
Mrps17	4.3	1.2	4.3	1.2	3.5	4	4	4	4.4	4	4.7	4.6	4	5	4.9	5.1
Mrps18a	1.8	3.9	1.8	3.9	0	2.8	2.4	3.2	4.7	3.6	2.8	6.2	4.4	5.6	5.3	5.9
Mrps18b	4.5	6.7	4.5	6.7	1.7	3.7	3.1	4.7	4.4	5.7	6.2	6.1	6.3	6.8	6.5	6.2
Mrps18c	4.1	4.4	4.1	4.4	0	0	2.5	1.3	5	2.5	5.6	7.8	6.4	7.3	7.2	8.4
Mrps2	2.7	2.8	2.7	2.8	2.9	0	3.1	0.5	3.3	0.9	2.7	3.5	3.8	3.9	2.7	4.2
Mrps21	4.9	7.2	4.9	7.2	7	2.2	7	4.7	7	7.1	7.7	7.9	7.5	7.5	7.2	7.3
Mrps22	0	3.8	0	3.8	0	0.8	1.2	0.4	2.4	0	1.8	2.6	0.6	3	4	3.6
Mrps23	4.6	4.7	4.6	4.7	2.2	4.3	2.1	3.3	1.9	2.2	2.8	5.2	3.8	4.4	4.3	3.4
Mrps24	4.8	4.7	4.8	4.7	4.4	3	4.6	3.7	4.8	4.3	4.6	5.3	5.4	5.4	5	5.9
Mrps25	0.7	1.4	0.7	1.4	2.1	1.5	1.5	1.3	0.9	1.1	2.4	2.6	2.5	3.1	3	2.9
Mrps26	2.9	4.8	2.9	4.8	4.1	4.4	4	4.3	3.8	4.1	4.2	4.7	4	5.3	5.3	5.5
Mrps27	5.2	0.8	5.2	0.8	3.7	0	3.1	1.8	2.5	3.6	3.2	3.8	0	3.6	2.8	3.8
Mrps28	4.1	6.3	4.1	6.3	3.1	5.2	4.6	5.1	6	5	6.3	6.7	4.8	6.7	7	6.3
Mrps30	1.8	3.9	1.8	3.9	3.7	2.6	3.5	3.2	3.3	3.8	2.2	5	4.1	1.9	3.7	3.9
Mrps31	2.3	4	2.3	4	0	2	1.7	1	3.3	0	0.5	0.4	2.8	2.7	3.1	3.2
Mrps33	4.7	2	4.7	2	2.5	4	3.3	4.9	4	5.7	4.6	5.8	5.7	6.1	6	6.2
Mrps34	4.5	4.6	4.5	4.6	4.9	2.1	4	2.9	3.1	3.6	4.1	4.7	4.9	4.3	6	4
Mrps35	1.5	0	1.5	0	2.5	2.5	1.3	1.3	0	0	4.9	3.3	3.4	4.3	4.5	4.3
Mrps36	4.7	0	4.7	0	2.3	2	4.2	4	6.1	6	5	7	6	7	6	6.6
Mrps5	4.4	4.7	4.4	4.7	0	3.7	1.5	3.2	3	2.6	5	5.4	3.4	4.9	4.9	5
Mrps6	0	4	0	4	0	0	1.1	0	2.2	0	2.8	5.3	4.2	5.7	5.5	4.5
Mrps7	0	4.5	0	4.5	3	1.7	3.4	1.5	3.7	1.3	4.8	6	5.6	6.4	5.5	5
Mrps9	0	0	0	0	0	0.7	1.7	1.1	3.3	1.5	1.2	4.3	2.4	3.5	3.5	4.4
Mrrf	0	0	0	0	0	0	1.1	1.7	2.1	3.3	3.1	1.6	2.2	3	3.7	3.9
Mrs2	1.5	1.7	1.5	1.7	0	0.5	0	1.1	0	1.7	0.4	1.2	0	2.3	1.6	3.2
Mrto4	4.9	5	4.9	5	1.9	2.9	2	3.7	2	4.4	3.6	6.5	5.3	7.2	6.3	6.4
Ms4a4d	0	1	0	1	0	0.7	0	0.4	0	0	0	0	0	0	0	1
Ms4a6b	0	0	0	0	0	0	0	0	0	0	0.4	0	0	1.4	0	0
Ms4a6c	0	1.8	0	1.8	0	0	1	1.3	1.9	2.6	0.4	0.8	0.4	0.7	0	0.3
Msantd2	1.4	2.3	1.4	2.3	0	1.9	0.8	2	1.5	2.1	1.9	0.9	3	3.4	3	1.7
Msantd3	0	0	0	0	0	0	1	0	1.9	0	0	0.9	0.8	3.6	0	0.7
Msantd4	1.6	0	1.6	0	0	1	1.2	0.7	2.3	0.4	0	2.3	2.6	3	0.9	4.1
Msc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msgn1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	1.5	0
Msh2	4.3	0	4.3	0	1.7	1.3	2.4	2.2	3.1	3	3.4	3.4	4.1	3.8	4.1	3.9
Msh3	1.2	0	1.2	0	0	0	0.7	1.1	1.3	2.1	1.6	2.7	0.3	1.9	1.3	1.3
Msh6	3.6	3.1	3.6	3.1	0.6	0	1.1	1.4	1.5	2.7	0.5	3.1	2.7	4	3.4	3.9
Msi1	0	0	0	0	0	0	0	0.4	0	0.7	0	0	0	0	1.6	0
Msi2	3.2	2.6	3.2	2.6	0.7	1.8	1.4	2.4	2	3	1.5	3.5	2.6	3.8	3.1	3
Msl1	1.8	1	1.8	1	0	2.5	0.5	2.1	0.9	1.7	1.1	2.7	1.8	2.4	2.3	3.2
Msl2	0	1	0	1	0	0	1.1	1	2.1	1.9	0.9	2.4	2.3	1.2	2.6	1.8
Msl3	0.9	2.7	0.9	2.7	2.3	0.8	2.3	2.2	2.2	3.5	0	1.1	0.3	1.2	2.3	2
Msl3l2	0	0	0	0	0	0	0	0	0	0	0	0	1.5	2.4	0	0
Msn	1.3	1.3	1.3	1.3	0	0.7	0.3	0.6	0.5	0.5	1.2	2	0.6	2.5	0.1	0.2
Msra	0	5.2	0	5.2	0	0	0	0	0	0	1.6	2.6	1	0	3.6	0
Msrb1	0	4.4	0	4.4	0	2.5	1.4	2.3	2.7	2.1	1.3	3.4	0	3.8	0.6	2
Msrb2	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0	0	0.5
Mss51	0	0	0	0	0	0	0	0	0	0	0.7	2.6	0	1.1	0	0.6
Msto1	1	2.9	1	2.9	1.2	1.3	2	2.5	2.8	3.6	3.9	5.2	4.7	4.1	4.2	4.3
Msx1	0	0	0	0	0	0	0	0	0	0	0	0	1.6	0.4	0	3.1
Msx1as	0	1.9	0	1.9	0	0	0	0	0	0	0	2	2.3	4	3.1	5.4
Msx2	2.2	3.3	2.2	3.3	0	0	0	0	0	0	0.3	4	2.8	3.6	2.7	2.4
Mt1	9.2	9.6	9.2	9.6	9.4	8.4	9.4	8.8	9.4	9.1	10.2	11	9.9	10.1	11.2	10.5
Mt2	7.2	7.8	7.2	7.8	6	7.6	7	8.1	8	8.5	9	9.5	9	8.8	9.5	9.1
Mt3	0	0	0	0	0	0	0	0	0	0	0	0	1.9	0	0	0
Mta1	2.9	1	2.9	1	0.8	0.7	1.9	1.3	3	1.9	3.6	3.4	2.6	3.7	2.5	3.2
Mta2	3.3	1.7	3.3	1.7	2.7	2.7	2.7	2.5	2.7	2.2	3.2	3.3	2.7	3.6	2.4	2.9
Mta3	0	3.2	0	3.2	0	0.6	0.9	0.8	1.8	1	1.5	3.3	2.6	2.4	3.5	4
Mtag2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mtap	4.1	2.3	4.1	2.3	1.5	2.3	2.2	2.2	2.8	2.1	2.2	3.9	2.7	4.3	3.7	4.1
Mtap7d3	0	0	0	0	0	0	0	0	0	0	0	0	1.4	1.5	0.2	0
Mtbp	0	2.5	0	2.5	0	1.3	0.4	1.8	0.8	2.2	0.2	2.2	0.2	2.6	2.7	0.9
Mtch1	4.3	2	4.3	2	2.5	3.7	3.1	3.1	3.7	2.5	2.8	5.4	2.7	5.1	5.3	5.1
Mtch2	3	1.8	3	1.8	2.5	4.5	2.9	3.8	3.3	3	3.7	4.4	5.3	5.1	5.5	5.9
Mtcp1	0	0	0	0	0	1.6	0	0.8	0	0	2.5	2.3	2.3	1.2	1.5	0
Mtdh	2	4.2	2	4.2	2	3.3	2.6	3.4	3.2	3.4	4.4	5.5	4.6	5.1	4.8	5.3
Mterf	0	0	0	0	0	0	0	0	0	0	1.2	0	0	1.4	0	0
Mterfd1	0	3.2	0	3.2	0	1.5	0	0.8	0	0	1.6	0	2.3	3	2.8	2.5
Mterfd2	1.1	0	1.1	0	0	0	1.1	0.9	2.1	1.7	2.2	0.7	0	1.6	0.6	2.1
Mterfd3	0	0	0	0	0	0.7	0	0.4	0	0	0	0	0	0	0.8	0
Mtf1	0.3	0	0.3	0	0	0.7	0.8	0.7	1.6	0.6	1.8	1.1	0.3	1.2	0.2	1
Mtf2	1.9	3.3	1.9	3.3	1.8	2.8	3	3.3	4.1	3.7	2.9	4.3	2.6	4.4	3.7	4.1
Mtfmt	0	0	0	0	1.1	0	0.8	0	0.5	0	3.5	2.2	2.9	2.4	2.4	3
Mtfp1	0	0	0	0	0	1.2	0	0.6	0	0	2.1	0	1.4	4.2	5.4	3.8
Mtfr1	0.7	0.6	0.7	0.6	0	0	0.6	1.5	1.1	2.9	0.3	0.5	0.9	3.4	2.6	2.9
Mtfr1l	2.5	3.1	2.5	3.1	3.3	2.1	3.5	1.7	3.6	1.2	0.4	1.5	0	3.8	3.4	4.4
Mtfr2	0	0	0	0	0	0	0	0	0	0	0.6	0	2.5	2.2	1.4	0.5
Mtg1	0	0	0	0	0	0	1.1	1.3	2.2	2.6	0	3.5	3.3	1	2.8	1.7
Mthfd1	3	3	3	3	2.8	0.8	3.3	2.3	3.8	3.7	4.1	5.2	3.4	4.4	3.8	4.3
Mthfd1l	1.8	2.2	1.8	2.2	1.7	0.3	1	0.9	0.3	1.4	0	2.8	0	3	2.4	0.9
Mthfd2	2.7	1.3	2.7	1.3	1.1	0	2.3	0.5	3.4	0.9	0	2.1	1.8	3.5	1.9	2.1
Mthfd2l	0	0	0	0	0	1.1	0.9	0.6	1.7	0	0	4.1	0.3	0.6	0	0
Mthfr	0.8	1.6	0.8	1.6	1.8	1.2	1.6	1.9	1.4	2.6	1.4	1.2	1.2	1.5	2.6	1.6
Mthfs	2	0	2	0	0	1.3	0	1.8	0	2.3	0	0.7	2.8	3.4	2	3.5
Mthfsd	2.8	3.3	2.8	3.3	0	0	1.5	1.4	2.9	2.7	2.7	3.6	0.3	1.8	2.9	3.4
Mtif2	0	0	0	0	3.2	0.7	2.1	1.6	0.9	2.4	0.7	2.5	2.2	3.1	2.8	0.7
Mtif3	2.4	1.7	2.4	1.7	1.2	1.8	1.2	1.1	1.2	0.4	1.5	2.6	1.6	2.4	2.2	2.2
Mtmr1	0	0	0	0	0	0.5	0.4	0.9	0.7	1.2	1.1	1.9	0.2	1	0.7	1.4
